"Pathway"
"REACTOME_SIGNALING_BY_PDGF"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"
"KEGG_PATHWAYS_IN_CANCER"
"REACTOME_COLLAGEN_CHAIN_TRIMERIZATION"
"KEGG_ECM_RECEPTOR_INTERACTION"
"REACTOME_COLLAGEN_DEGRADATION"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS"
"REACTOME_SIGNALING_BY_MET"
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING"
"REACTOME_MET_PROMOTES_CELL_MOTILITY"
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES"
"REACTOME_ECM_PROTEOGLYCANS"
"REACTOME_COLLAGEN_FORMATION"
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"REACTOME_NEURONAL_SYSTEM"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX"
"REACTOME_NCAM1_INTERACTIONS"
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"
"KEGG_AXON_GUIDANCE"
"KEGG_FOCAL_ADHESION"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS"
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES"
"REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS"
"REACTOME_CELL_CELL_COMMUNICATION"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION"
"KEGG_SMALL_CELL_LUNG_CANCER"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"
