"X0","X0.5","X1","X1.5","X2","X3"
0.8,0.0909090909090909,0.230769230769231,0.0909090909090909,0.0909090909090909,0.0909090909090909
0.888888888888889,0.357142857142857,0.222222222222222,0.272727272727273,0.272727272727273,0.2
0.909090909090909,0.307692307692308,0.1,0.1,0.1,0
0.869565217391304,0.307692307692308,0.181818181818182,0.25,0.333333333333333,0.25
0.9,0.166666666666667,0.0909090909090909,0.0909090909090909,0.1,0
0.947368421052632,0,0,0,0,0
0.941176470588235,0.0909090909090909,0.166666666666667,0.0909090909090909,0,0
0.904761904761905,0.230769230769231,0.0909090909090909,0.166666666666667,0.166666666666667,0.230769230769231
0.894736842105263,0,0.1,0,0.1,0.1
1,0,0,0,0,0
0.95,0.285714285714286,0,0.230769230769231,0.0909090909090909,0.0909090909090909
0.882352941176471,0.25,0.166666666666667,0.0909090909090909,0.0909090909090909,0.1
0.941176470588235,0.1,0.166666666666667,0,0.181818181818182,0
0.833333333333333,0.285714285714286,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.25
0.95,0.0909090909090909,0.1,0,0.181818181818182,0.0909090909090909
0.875,0.333333333333333,0.272727272727273,0.3,0.272727272727273,0.3
0.882352941176471,0.0909090909090909,0.0909090909090909,0.166666666666667,0.0909090909090909,0
0.941176470588235,0.2,0.181818181818182,0.166666666666667,0.166666666666667,0.0909090909090909
0.833333333333333,0.181818181818182,0.25,0.25,0.25,0.25
0.95,0.166666666666667,0.0909090909090909,0.166666666666667,0.0909090909090909,0.166666666666667
0.941176470588235,0.1,0.1,0,0.1,0
0.833333333333333,0.181818181818182,0.166666666666667,0.166666666666667,0.1,0.181818181818182
0.952380952380952,0,0,0,0,0
0.923076923076923,0.0909090909090909,0,0.0909090909090909,0,0
0.904761904761905,0,0.0909090909090909,0.1,0.181818181818182,0
0.933333333333333,0.166666666666667,0,0.0909090909090909,0.166666666666667,0
0.909090909090909,0.0909090909090909,0.181818181818182,0.25,0.181818181818182,0
0.958333333333333,0.1,0,0,0.0909090909090909,0
0.904761904761905,0,0,0,0,0
1,0.166666666666667,0.0909090909090909,0.0909090909090909,0.230769230769231,0.166666666666667
