Term
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX
REACTOME_COLLAGEN_DEGRADATION
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS
KEGG_AXON_GUIDANCE
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS
REACTOME_COMPLEMENT_CASCADE
REACTOME_PARASITE_INFECTION
REACTOME_FCGR_ACTIVATION
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS
REACTOME_METABOLISM_OF_CARBOHYDRATES
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES
REACTOME_DISEASES_OF_METABOLISM
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM
REACTOME_METABOLISM_OF_LIPIDS
REACTOME_COLLAGEN_FORMATION
REACTOME_SIGNALING_BY_WNT
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA
KEGG_SMALL_CELL_LUNG_CANCER
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION
KEGG_DILATED_CARDIOMYOPATHY
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL
KEGG_ECM_RECEPTOR_INTERACTION
KEGG_MAPK_SIGNALING_PATHWAY
REACTOME_VESICLE_MEDIATED_TRANSPORT
REACTOME_LEISHMANIA_INFECTION
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT
REACTOME_CELLULAR_RESPONSES_TO_STIMULI
KEGG_PATHWAYS_IN_CANCER
REACTOME_CD22_MEDIATED_BCR_REGULATION
REACTOME_CELL_CELL_COMMUNICATION
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES
REACTOME_L1CAM_INTERACTIONS
REACTOME_DISEASES_OF_GLYCOSYLATION
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
