"Pathway"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"
"REACTOME_SARS_COV_2_INFECTION"
"KEGG_TYPE_I_DIABETES_MELLITUS"
"REACTOME_SIGNALING_BY_NTRKS"
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
