0,0.5,1,1.5,2,3
2,3,1,0,0,0
1,1,3,7,6,6
0,0,0,0,0,0
0,24,22,21,20,17
0,14,18,19,21,20
0,1,1,1,3,9
1,0,0,1,0,0
1,8,7,7,7,3
2,3,8,6,11,9
1,4,4,2,6,5
0,3,2,2,1,0
0,7,5,5,9,5
0,1,1,0,0,0
0,0,1,1,1,0
2,1,0,1,1,0
1,14,8,10,10,13
0,5,4,8,3,5
0,6,9,10,10,9
0,11,12,11,15,15
2,13,13,16,14,18
7,4,15,9,9,5
1,0,0,0,0,0
0,3,5,9,7,3
0,0,2,0,0,0
0,1,0,1,0,0
0,2,3,2,2,2
1,17,22,20,23,22
0,12,17,14,13,19
1,0,1,0,1,1
0,3,3,0,2,2
